Assessment_ID,Report_Date,Report_Time,Infrastructure_Asset,Attack_Surface,Compromise_Vector,Threat_Actor_Group,Threat_Actor_Motivation,Geographic_Origin,Target_System,Access_Type,Data_Sensitivity,Potential_Impact,Mitigation_Strategy,Confidence_Level,Status
TA-2024-10-26-001,2024-10-26,08:00:00,Water Treatment Plant,SCADA System,Phishing Email,APT28,Geopolitical Espionage,Russian Federation,HMI Server,Remote Access,Confidential,Disruption of Water Supply,Implement MFA on Remote Access,High,Open
TA-2024-10-26-002,2024-10-26,09:15:00,Power Grid,Control Systems,Malware Injection,Sandworm Team,Disruption of Power Supply,Russian Federation,Control Server,Network Access,Critical,Widespread Power Outage,Segment Network,High,Open
TA-2024-10-26-003,2024-10-26,10:30:00,Nuclear Power Plant,Safety Systems,Supply Chain Attack,Lazarus Group,Financial Gain,North Korea,Emergency Shutdown System,Physical Access,Restricted,Nuclear Meltdown,Regular Security Audits,Medium,Open
TA-2024-10-26-004,2024-10-26,11:45:00,Oil Pipeline,Operational Technology,DDoS Attack,Anonymous,Hacktivism,Global,Pipeline Control System,Internet Access,Limited,Pipeline Shutdown,Implement Rate Limiting,Low,Open
TA-2024-10-26-005,2024-10-26,13:00:00,Gas Distribution Network,IoT Devices,Ransomware,REvil,Financial Gain,Eastern Europe,Smart Meters,Local Access,Private,Gas Leak,Patch IoT Devices,Medium,Open
TA-2024-10-26-006,2024-10-26,14:15:00,Transportation Network,Traffic Management System,SQL Injection,APT41,Geopolitical Espionage,China,Database Server,Web Access,Confidential,Traffic Congestion,Implement Web Application Firewall,High,Open
TA-2024-10-26-007,2024-10-26,15:30:00,Financial Institutions,Banking Systems,Business Email Compromise,FIN7,Financial Gain,Eastern Europe,Financial Server,Email Access,Critical,Financial Loss,Implement Employee Training,Medium,Open
TA-2024-10-26-008,2024-10-26,16:45:00,Telecommunications Infrastructure,Network Devices,Zero-Day Exploit,Equation Group,Geopolitical Espionage,United States,Router,Network Access,Confidential,Network Outage,Implement Intrusion Detection System,High,Open
TA-2024-10-26-009,2024-10-26,18:00:00,Healthcare Systems,Electronic Health Records,Data Breach,Dark Overlord,Financial Gain,Global,Database Server,Database Access,Highly Sensitive,Data Leakage,Implement Data Encryption,Medium,Open
TA-2024-10-26-010,2024-10-26,19:15:00,Emergency Services,911 System,Denial of Service,Various,Hacktivism,Global,Call Center Server,Internet Access,Limited,Disruption of Emergency Services,Implement Load Balancing,Low,Open
TA-2024-10-27-001,2024-10-27,07:00:00,Wastewater Treatment,SCADA System,Spear Phishing,APT33,Geopolitical Espionage,Iran,PLC,Remote Access,Confidential,Uncontrolled Discharge,Implement Least Privilege,High,Open
TA-2024-10-27-002,2024-10-27,11:22:00,Electrical Substation,IEDs,Malware Implant,Volt Typhoon,Espionage,China,Relay Control,Network Access,Critical,Equipment Damage, Harden Physical Security,High,Open
TA-2024-10-27-003,2024-10-27,15:48:00,Dam Infrastructure,Control Systems,Brute Force Attack,KillNet,Hacktivism,Russia,HMI,Remote Access,Restricted,Flooding,Change Default Credentials,Medium,Open
