ThreatOrigin,AttackPoint,ExploitVector,DateTimeOfAttack,PotentialImpact,MitigationStrategy,ConfidenceLevel,Status,Notes
External_NationState,"Point of Sale (POS) System, Store A",SQL Injection,"2024-10-26 03:15:00",Compromised Customer Data,Implement WAF,High,Open,"Observed unusual database queries before attack"
Internal_DisgruntledEmployee,"Inventory Management System, Central Warehouse",Privilege Escalation,"2024-10-27 18:42:00",Data Manipulation,Review Access Controls,Medium,Investigating,"User account flagged for suspicious activity"
PhishingCampaign,"Employee Workstation, Store B",Malware (Ransomware),"2024-10-28 09:20:00",System Lockdown,Anti-malware Software,High,In Progress,"Employee clicked on a malicious link"
SupplyChainCompromise,"Payment Processing Server, Data Center",Man-in-the-Middle Attack,"2024-10-29 22:58:00",Data Breach,Monitor Network Traffic,Medium,Open,"Compromised third-party vendor"
DDoSAttack,"Online Storefront, Web Server",Volumetric Attack,"2024-10-30 14:30:00",Service Disruption,Implement DDoS Mitigation Services,High,Mitigated,"Significant increase in traffic from multiple sources"
VulnerabilityExploitation,"Customer Loyalty Program Database, Cloud Server",Unpatched Software Vulnerability,"2024-10-31 01:07:00",Data Exfiltration,Patch Management,High,Closed,"Vulnerability CVE-2023-XXXX exploited"
InsiderThreat_Accidental,"Database Server, Data Center",Data Leakage (Accidental),"2024-11-01 11:11:00",Accidental Exposure of Sensitive Data,Data Loss Prevention (DLP),Medium,Investigating,"Accidental export of customer list without encryption"
SocialEngineering,"Call Center, Store C",Credential Theft,"2024-11-02 16:53:00",Unauthorized Access,Employee Training,Medium,Open,"Employee tricked into providing credentials"
BruteForceAttack,"Remote Access Server, Corporate Network",Password Cracking,"2024-11-03 05:48:00",Unauthorized Access,Multi-Factor Authentication (MFA),High,Mitigated,"Multiple failed login attempts detected"
WebApplicationAttack,"Customer Review Portal, Web Server",Cross-Site Scripting (XSS),"2024-11-04 20:12:00",Website Defacement,Input Validation,Medium,In Progress,"Malicious script injected into customer review"
PhysicalSecurityBreach,"Server Room, Store D",Hardware Theft,"2024-11-05 02:22:00",Loss of Sensitive Data,Physical Security Measures,Low,Open,"Server containing customer data stolen"
RogueWiFi,"Customer WiFi, Store E",Man-in-the-Middle Attack,"2024-11-06 13:37:00",Data Interception,WiFi Security Configuration,Medium,Investigating,"Unsecured WiFi network detected"
Malvertising,"Online Advertisement, Customer Website",Malware Download,"2024-11-07 10:01:00",Compromised Customer Devices,Ad Filtering,Medium,Open,"Malicious advertisement displayed on website"
ZeroDayExploit,"Mobile App, Customer Device",Remote Code Execution,"2024-11-08 19:45:00",Compromised Customer Data,Mobile App Security,High,In Progress,"New vulnerability discovered in mobile app"
CloudMisconfiguration,"Cloud Storage, Cloud Provider",Data Exposure,"2024-11-09 07:59:00",Data Breach,Cloud Security Configuration,Medium,Closed,"Publicly accessible cloud storage bucket"
